REVISED 7/3/19,,,,,,,,,,,,,,,,,,,,
OBS SPRING SALE OF TWO-YEAR-OLDS IN TRAINING,,,,,,,,,,,,,,,,,,,,
"APRIL 23 - 26, 2019",,,,,,,,,,,,,,,,,,,,
hip#,Name,Color,Sex,Foal Date,Sire,Dam,Dam Sire,Sort By Dam,Consignor,Area ID,Barn,work time,set,day,Buyer ,Price ,PS,Status ,out date,AlphSort
31,,DB/BR,C,2/9/2017,Tapizar,Franchesca,Henrythenavigator,Franchesca,"Off the Hook LLC, Agent X",KY,13,10.0,41,4/15,"15,000",Not Sold,,,,Off the Hook LLC
32,,DB/BR,C,2/18/2017,Competitive Edge,Frazier's Finest,Formal Dinner,FraziersFinest,"Robert Brewer, Agent",KY,D,10.3,54,4/15,SROA (K.O.I.D.),"35,000",,,,Brewer Robert
33,,GR/RO,C,2/22/2017,Graydar,Freedom Rings,Proud Citizen,FreedomRings,"Hemingway Racing and Training Stables LLC, Agent XIX",KY,16,10.2,29,4/15,Michael Pender,"40,000",,,,Hemingway Racing and Training LLC
34,,CH,C,3/29/2017,Wicked Strong,Friendly Livi,Friendly Island,FriendlyLivi,"de Meric Sales, Agent XX",KY,12,10.3,100,4/15,Rosedown Racing Stables,"16,000",,,,de Meric Sales
35,,DB/BR,F,2/6/2017,Summer Front,Frolicking Gal,Discreet Cat,FrolickingGal,"Ocala Stud, Agent",KY,4,21.3,65,4/15,"95,000",Not Sold,,,,Ocala Stud
36,,DB/BR,F,3/13/2017,Ghostzapper,Front and Center,Dynaformer,FrontandCenter,"Brick City Thoroughbreds, Agent I",KY,19,10.2,104,4/15,"55,000",Not Sold,,,,Brick City Thoroughbreds
37,,B,F,3/13/2017,Quality Road,Frost Bite,Pulpit,FrostBite,"Eisaman Equine, Agent",KY,7,10.1,32,4/15,Narvick Int'l,"150,000",,,,Eisaman Equine
38,,B,C,3/11/2017,Midshipman,Gabeira,Medaglia d'Oro,Gabeira,"McKathan Bros., Agent VII",KY,6,10.2,160,4/15,Withdrawn,Out,,Out,4/23/2019,McKathan Bros.
39,,B,C,2/12/2017,Gemologist,Galileo's Star,Lil E. Tee,GalileosStar,"S B M Training and Sales, Agent XIV",KY,15,10.3,127,4/15,Sam Aguiar,"30,000",,,,S B M Training and Sales
40,,B,F,3/10/2017,Super Saver,Gasia,Silver Deputy,Gasia,"Randy Bradshaw, Agent II",KY,18,10.3,34,4/15,"55,000",Not Sold,,,,Bradshaw Randy
41,Late Money,B,C,5/31/2017,Midnight Lute,Gaston A.,Concorde's Tune,GastonA,"Kings Equine, Agent XVI",KY,2,10.4,145,4/15,"K.O.I.D. Co., Ltd.","20,000",,,,Kings Equine
42,Chart,B,F,3/24/2017,Lea,Gauge,War Front,Gauge,"Harris Training Center LLC, Agent I",KY,13,10.1,30,4/15,D. J. Stables,"120,000",,,,Harris Training Center LLC
43,,CH,F,2/18/2017,Verrazano,Gayatri,War Chant,Gayatri,"Hemingway Racing and Training Stables LLC, Agent XI",KY,16,10.2,102,4/15,"57,000",Not Sold,,,,Hemingway Racing and Training LLC
44,,DB/BR,C,1/31/2017,Constitution,Ghostly Darkness,Ghostzapper,GhostlyDarkness,"Whitman Sales LLC, Agent VI",KY,16,10.3,158,4/15,Withdrawn,Out,,Out,4/23/2019,Whitman Sales
45,,CH,C,4/11/2017,Munnings,Giant Deduction,Giant's Causeway,GiantDeduction,"Top Line Sales LLC, Agent XXXVIII",IL,14,22.3,124,4/15,Withdrawn,Out,,Out,4/15/2019,Top Line Sales
46,,B,F,4/18/2017,Hard Spun,Giant Win,Giant's Causeway,GiantWin,"Kings Equine, Agent VIII",KY,2,10.3,22,4/15,"SGV, Agt for Bona Ventures Stables LLC","50,000",PS,,,Kings Equine
47,Sea Trident,GR/RO,C,3/19/2017,Mizzen Mast,Gift From the Sea,Stormy Atlantic,GiftFromtheSea,"Eddie Woods, Agent L",KY,11,21.4,64,4/15,"Juan Pacanins, Agent","50,000",,,,Woods Eddie
48,,DB/BR,F,3/30/2017,Goldencents,Gimme Sugar,Cactus Ridge,GimmeSugar,"Woodside Ranch, Agent I",KY,1,10.2,131,4/15,"K.O.I.D. Co., Ltd.","40,000",,,,Woodside Ranch
49,,CH,C,5/5/2017,Khozan,Ginablu,Bluegrass Cat,Ginablu,"Journeyman Bloodstock Services, Inc. (Brent & Crystal Fernung), Agent",FL,2,21.4,141,4/15,"14,000",Not Sold,,,,Journeyman Bloodstock
50,Get Around Town,DB/BR,C,4/9/2017,Empire Maker,Girlaboutown,A.P. Indy,Girlaboutown,"Sequel Bloodstock, Agent for Chester & Mary Broman",NY,9,23.0,134,4/15,Southern Equine Stable,"30,000",PS,,,Sequel Bloodstock
51,,CH,F,4/1/2017,Animal Kingdom,Girl Gone Crazy,Roar,GirlGoneCrazy,"Paul Sharp, Agent XXI",FL,C,10.3,163,4/15,"55,000",Not Sold,,,,Sharp Paul M.
52,Edmund Fitzgerald,B,C,3/27/2017,Carpe Diem,Gitchee Goomie,City Zip,GitcheeGoomie,"Bobby Dodd, Agent X",NY,10,out,,,Withdrawn,Out,,Out,4/15/2019,Dodd Bobby
53,,B,C,4/4/2017,Tonalist,Giulietta,Dunkirk,Giulietta,"de Meric Sales, Agent XXII",KY,12,21.4,75,4/15,Narvick Int'l,"85,000",,,,de Meric Sales
54,,CH,F,4/24/2017,City Zip,Giulio's Jewel,Speightstown,GiuliosJewel,"Envision Equine, Agent",KY,D,21.3,118,4/15,Withdrawn,Out,,Out,4/23/2019,Envision Equine
55,,DB/BR,F,3/11/2017,Bayern,Given Star,Any Given Saturday,GivenStar,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VI",KY,5,out,,,Withdrawn,Out,,Out,4/11/2019,"Wavertree Stables, Inc."
56,,CH,C,2/24/2017,Kantharos,Glamalert,Vindication,Glamalert,Ocala Stud,FL,4,out,,,Withdrawn,Out,,Out,4/11/2019,Ocala Stud
57,,B,F,4/29/2017,Union Rags,Glenbriar Girl,Gold Case,GlenbriarGirl,"Shooting Star Sales LLC, Agent II",KY,G,10.4,78,4/15,Withdrawn,Out,,Out,4/23/2019,Shooting Star Sales LLC
58,,B,C,4/4/2017,Kantharos,Glitterama,Rock Hard Ten,Glitterama,"TIP Thoroughbred Investment Possibilities, Agent VIII",FL,20,10.1,83,4/15,Andrew Lerner,"20,000",,,,TIP Thoroughbred Investment Possibilities
59,,B,F,5/3/2017,Khozan,Glitterazzi,Hard Spun,Glitterazzi,"Journeyman Bloodstock Services, Inc. (Brent & Crystal Fernung), Agent",FL,2,21.3,40,4/15,"K.O.I.D. Co., Ltd.","27,000",,,,Journeyman Bloodstock
60,,DB/BR,F,2/12/2017,Mineshaft,Glorious Sky,Aldebaran,GloriousSky,"Niall Brennan Stables, Agent XXVIII",FL,8,10.3,81,4/15,Withdrawn,Out,,Out,4/23/2019,Brennan Niall
61,,B,F,2/7/2017,Daredevil,Go Go Tammy,Tiznow,GoGoTammy,"Randy Miles, Agent XVI",KY,18,10.3,76,4/15,Angel L. Del-Valle Matos,"21,000",,,,Miles Randy
62,,DB/BR,F,2/18/2017,Constitution,Gold D' Medaglia,Medaglia d'Oro,GoldDMedaglia,"Altamira Stable LLC, Agent I",FL,H,10.1,88,4/15,The Three Amigos,"200,000",,,,Altamira Stable LLC
63,,CH,C,4/20/2017,Will Take Charge,Golden Mean,Mt. Livermore,GoldenMean,"Kings Equine, Agent IV",ON,2,10.2,93,4/15,"Gary Young, Agent for Earl Mack","72,000",PS,,,Kings Equine
64,Uncaptured Gold,DB/BR,C,4/2/2017,Uncaptured,Golden Nip,Formal Gold,GoldenNip,"de Meric Sales, Agent XLI",FL,12,10.3,125,4/15,Antonio Sano,"10,000",,,,de Meric Sales
65,,DB/BR,F,3/2/2017,Shakin It Up,Gold Ring,Touch Gold,GoldRing,"Eddie Woods, Agent XXXIX",KY,11,21.2,16,4/15,Al Stall Jr.,"85,000",,,,Woods Eddie
66,,B,F,2/13/2017,Lookin At Lucky,Goldspun,Hard Spun,Goldspun,"Eddie Woods, Agent XLVIII",KY,11,22.0,143,4/15,SROA (K.O.I.D.),"30,000",,,,Woods Eddie
67,,B,F,4/8/2017,Mizzen Mast,Gone Overboard,Gone West,GoneOverboard,All Dreams Equine,KY,20,10.4,155,4/15,Hubert Gaffney Racing Stable,"13,000",,,,All Dreams Equine
68,,DB/BR,F,4/18/2017,Pioneerof the Nile,Gone Purrfect,Gone West,GonePurrfect,"Top Line Sales LLC, Agent XV",KY,14,10.2,62,4/15,Ali Jan,"55,000",,,,Top Line Sales
69,,B,C,4/10/2017,Handsome Mike,Goodbye Beautiful,Goodbye Doeny,GoodbyeBeautiful,"All In Sales (Tony Bowling), Agent",FL,F,10.2,129,4/15,Danny Pagan,"25,000",,,,All In Sales
70,Mister K,CH,C,3/10/2017,Kantharos,Goodgollymissdolly,Pleasant Tap,Goodgollymissdolly,"Blue River Bloodstock, Inc., Agent I",FL,18,21.1,112,4/15,Lothenbach Stable Inc.,"70,000",PS,,,Blue River Bloodstock
71,,CH,C,4/30/2017,Daredevil,Good Mood (IRE),Danehill Dancer (IRE),GoodMoodIRE,"Mayberry Farm, Agent XVI",NY,B,10.4,130,4/15,D. J. Stables,"40,000",PS,,,Mayberry Farm
72,,B,F,1/31/2017,Union Rags,Gossip Line,A.P. Indy,GossipLine,Shanbally Acres,KY,D,10.3,77,4/15,Withdrawn,Out,,Out,4/16/2019,Shanbally Acres
73,,B,C,3/31/2017,Twirling Candy,Graceful Cat,Forest Wildcat,GracefulCat,"S G V Thoroughbreds LLC (Steven Venosa), Agent",KY,1,10.1,42,4/15,TIP Thoroughbreds,"35,000",PS,,,S G V Thoroughbreds
74,,GR/RO,C,2/10/2017,The Factor,Gracewood,Unbridled's Song,Gracewood,Thoroughbred Champions Training Center LLC,KY,E,21.2,90,4/15,"35,000",Not Sold,,,,Thoroughbred Champions Training Center LLC
75,,B,C,4/13/2017,American Pharoah,Gracie's Butterfly,War Front,GraciesButterfly,"Desert Thoroughbreds LLC, Agent I",KY,16,11.0,113,4/15,"390,000",Not Sold,,,,Desert Thoroughbreds LLC
76,,B,F,4/24/2017,Carpe Diem,Grandtessa,Grand Slam,Grandtessa,"Top Line Sales LLC, Agent I",KY,14,10.1,84,4/15,"340,000",Not Sold,,,,Top Line Sales
77,,B,F,4/26/2017,Tapizar,Gran Lioness,Lion Heart,GranLioness,"Off the Hook LLC, Agent IX",KY,13,out,170,,Withdrawn,Out,,Out,4/15/2019,Off the Hook LLC
78,,B,F,4/15/2017,Trappe Shot,Gran Sabana,Mizzen Mast,GranSabana,"Off the Hook LLC, Agent III",FL,13,10.4,107,4/15,Richard Rennie,"6,500",,,,Off the Hook LLC
79,,CH,C,3/30/2017,First Dude,Grazettes Muchacha,D'wildcat,GrazettesMuchacha,"Tom McCrocklin, Agent IX",FL,2,22.2,72,4/15,Richard H Lynn,"18,500",PS,,,McCrocklin Tom
80,,DB/BR,F,4/8/2017,Uncaptured,Grazioso,Dehere,Grazioso,A B Thoroughbreds,FL,19,out,,,Withdrawn,Out,,Out,4/1/2019,A B Thoroughbreds
81,,DB/BR,F,2/24/2017,Candy Ride (ARG),Great Passion,Giant's Causeway,GreatPassion,"Niall Brennan Stables, Agent I",KY,8,out,,,Withdrawn,Out,,Out,4/9/2019,Brennan Niall
82,,B,F,3/5/2017,Bodemeister,Greenfield d'Oro,Medaglia d'Oro,GreenfielddOro,"Paul Sharp, Agent III",KY,C,-,,,Withdrawn,Out,,Out,4/17/2019,Sharp Paul M.
83,,DB/BR,F,1/19/2017,Cross Traffic,Greer Lynn,Speightstown,GreerLynn,"Paul Sharp, Agent VII",KY,C,10.2,67,4/15,Withdrawn,Out,,Out,4/23/2019,Sharp Paul M.
84,,CH,C,1/26/2017,Uncaptured,Grilledham'ncheese,Gneiss,Grilledhamncheese,"Randy Bradshaw, Agent VII",FL,18,10.3,96,4/15,Sam Aguiar,"30,000",PS,,,Bradshaw Randy
85,,B,C,3/6/2017,Carpe Diem,Guiltless,Bernardini,Guiltless,Brick City Thoroughbreds,KY,19,10.3,38,4/15,Withdrawn,Out,,Out,4/23/2019,Brick City Thoroughbreds
86,,B,C,2/16/2017,Fed Biz,Halo's Surprise,Halo's Image,HalosSurprise,"Ocala Stud, Agent",NY,4,out,,,Withdrawn,Out,,Out,3/15/2019,Ocala Stud
87,,B,C,4/23/2017,Tiznow,Handoverthecat,Tale of the Cat,Handoverthecat,"Wavertree Stables, Inc. (Ciaran Dunne), Agent IV",KY,5,22.0,59,4/15,Withdrawn,Out,,Out,4/16/2019,"Wavertree Stables, Inc."
88,,CH,F,5/22/2017,Distorted Humor,Hangingbyamoment,Thunder Gulch,Hangingbyamoment,"Randy Miles, Agent V",ON,18,10.2,43,4/15,"Brendan P. Walsh, Agent","180,000",,,,Miles Randy
89,,B,C,2/20/2017,Palace Malice,Happy Flight,Majestic Warrior,HappyFlight,"Niall Brennan Stables, Agent XV",KY,8,10.4,166,4/15,Guillermo Berrios,"25,000",,,,Brennan Niall
90,,DB/BR,F,3/25/2017,Uncaptured,Happy Happy Kat,Kitten's Joy,HappyHappyKat,"Gene Recio, Agent XIV",FL,15,10.2,154,4/15,Our Sugar Bear Stable,"15,000",PS,,,Recio Gene
91,,DB/BR,C,4/11/2017,Mission Impazible,Happy Retreat,More Than Ready,HappyRetreat,"S B M Training and Sales, Agent III",NY,15,10.1,10,4/15,Black Type Thoroughbreds,"165,000",,,,S B M Training and Sales
92,Icy Dude,CH,C,2/4/2017,First Dude,Harbin,Gone West,Harbin,"Eddie Woods, Agent LXVI",FL,11,out,,,Withdrawn,Out,,Out,3/20/2019,Woods Eddie
93,,B,F,3/16/2017,Palace,Harborinthetempest,More Than Ready,Harborinthetempest,"Eddie Woods, Agent LXII",NY,11,21.3,80,4/15,Three Diamonds Farm,"30,000",,,,Woods Eddie
94,Tensas Anna,CH,F,4/28/2017,Fast Anna,Harbor Princess,Boston Harbor,HarborPrincess,"Grassroots Training & Sales LLC, Agent III",LA,J,out,168,,Withdrawn,Out,,Out,4/15/2019,Grassroots Training & Sales LLC
95,,B,F,1/23/2017,Palace Malice,Harlan Shuffle,Harlan's Holiday,HarlanShuffle,"Golden Rock Thoroughbreds, Agent XI",KY,16,10.3,148,4/15,Withdrawn,Out,,Out,4/23/2019,Golden Rock Thoroughbreds
96,,CH,C,3/8/2017,Carpe Diem,Hasiti,Candy Ride (ARG),Hasiti,"Top Line Sales LLC, Agent XX",KY,14,out,,,Withdrawn,Out,,Out,4/15/2019,Top Line Sales
97,,DB/BR,C,1/29/2017,Violence,Havelsee,Tiznow,Havelsee,"Blas Perez Stables, Agent VIII",FL,20,10.3,132,4/15,"14,000",Not Sold,,,,Perez Stables Blas 
98,,DB/BR,C,5/10/2017,Malibu Moon,Havenlass,Elusive Quality,Havenlass,Q Bar J Thoroughbreds LLC,KY,14,10.2,149,4/15,Tom Mansor,"30,000",,,,Q Bar J Thoroughbreds LLC
99,,GR/RO,C,4/25/2017,Liam's Map,Hay Jude,Wavering Monarch,HayJude,"Top Line Sales LLC, Agent I",KY,14,21.4,1,4/15,"295,000",Not Sold,,,,Top Line Sales
100,,B,F,2/2/2017,Curlin,Hazy Glow (IRE),Invincible Spirit (IRE),HazyGlowIRE,"Niall Brennan Stables, Agent IX",VA,8,out,,,Withdrawn,Out,,Out,4/9/2019,Brennan Niall
101,,DB/BR,F,2/26/2017,Constitution,Heart of Grace,Exploit,HeartofGrace,"Paul Sharp, Agent I",FL,C,10.3,15,4/15,Narvick Int'l,"110,000",,,,Sharp Paul M.
102,,DB/BR,F,3/31/2017,Midnight Lute,Heat Sweep,Latent Heat,HeatSweep,"Eisaman Equine, Agent",KY,7,10.2,159,4/15,"Jeffrey Bloom /Price / Recio Bloodstock, Agent","150,000",,,,Eisaman Equine
103,,B,C,3/7/2017,Palace,Heavenly Alibi,Closing Argument,HeavenlyAlibi,"Grassroots Training & Sales LLC, Agent III",LA,J,10.2,109,4/15,"30,000",Not Sold,,,,Grassroots Training & Sales LLC
104,Slam's Man,CH,C,3/1/2017,Mucho Macho Man,Heaven's Slam,Grand Slam,HeavensSlam,"Robert Brewer, Agent",LA,D,out,171,,Withdrawn,Out,,Out,4/15/2019,Brewer Robert
105,Heavenly Capture,B,F,3/22/2017,Uncaptured,Heavens to Beauty,Saint Anddan,HeavenstoBeauty,"Scanlon Training & Sales, Agent for Excel Bloodstock (Bruno DeBerdt)",FL,1,10.2,19,4/15,Emblem Stables,"75,000",,,,Scanlon Training Center
106,,GR/RO,C,2/28/2017,Cairo Prince,Heirness,Five Star Day,Heirness,"de Meric Sales, Agent XVIII",KY,12,out,,,Withdrawn,Out,,Out,3/14/2019,de Meric Sales
107,,B,F,2/27/2017,Tonalist,Helen Kathleen,Candy Ride (ARG),HelenKathleen,"McKathan Bros., Agent V",KY,6,10.4,110,4/15,Mike Akers,"150,000",,,,McKathan Bros.
108,,B,F,4/5/2017,Bodemeister,Heleonor Rugby,Tribal Rule,HeleonorRugby,"Omega Farm, Agent I",KY,H,10.2,137,4/15,"47,000",Not Sold,,,,Omega Farm
109,,B,F,2/6/2017,Twirling Candy,Henley,Corinthian,Henley,"de Meric Sales, Agent IV",KY,12,21.0,5,4/15,Belladonna Racing LLC,"335,000",,,,de Meric Sales
110,All Over the Map,GR/RO,F,2/7/2017,Liam's Map,Hennyville,Henny Hughes,Hennyville,"Parrish Farms, Agent",NY,10,11.1,135,4/15,Withdrawn,Out,,Out,4/16/2019,Parrish Farms
111,,CH,C,2/18/2017,Strong Mandate,Hen Party,Hennessy,HenParty,"Harris Training Center LLC, Agent X",KY,13,out,,,Withdrawn,Out,,Out,4/14/2019,Harris Training Center LLC
112,,DB/BR,C,3/31/2017,Fed Biz,Here to Stay,Empire Maker,HeretoStay,"Bobby Dodd, Agent I",KY,10,out,,,Withdrawn,Out,,Out,4/15/2019,Dodd Bobby
113,Taino House,B,C,2/9/2017,Bahamian Squall,Heritage House,Tale of the Cat,HeritageHouse,"Eddie Woods, Agent LXVI",FL,11,out,,,Withdrawn,Out,,Out,4/8/2019,Woods Eddie
114,,CH,C,3/24/2017,Wicked Strong,Herman's Wildcat,El Corredor,HermansWildcat,"Eddie Woods, Agent XXXIX",KY,11,22.3,99,4/15,Withdrawn,Out,,Out,4/22/2019,Woods Eddie
115,,B,F,1/26/2017,Fast Anna,Hermione's Magic,Forest Wildcat,HermionesMagic,"Envision Equine, Agent",FL,D,21.0,58,4/15,Charles L. Biggs,"55,000",,,,Envision Equine
116,,GR/RO,C,3/7/2017,Conveyance,Her She Kisses,Dehere,HerSheKisses,"Mayberry Farm, Agent V",NY,B,out,173,,Withdrawn,Out,,Out,4/15/2019,Mayberry Farm
117,,GR/RO,F,4/19/2017,Sky Kingdom,Heykittykittykitty,Tactical Cat,Heykittykittykitty,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XV",KY,5,21.3,147,4/15,"72,000",Not Sold,,,,"Wavertree Stables, Inc."
118,,DB/BR,C,3/27/2017,Competitive Edge,Hey Little Sister,Jump Start,HeyLittleSister,"Woodford Thoroughbreds, Agent",KY,17,10.2,57,4/15,Cromwell Bloodstock,"180,000",,,,Woodford Thoroughbreds
119,,B,F,5/1/2017,Sky Kingdom,Hidden Value,Value Plus,HiddenValue,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XV",KY,5,out,,,Withdrawn,Out,,Out,4/15/2019,"Wavertree Stables, Inc."
120,,DB/BR,C,3/15/2017,Cross Traffic,Highbury,Seattle Slew,Highbury,"Camelot Acres Racing and Sales, Agent",KY,A,10.4,116,4/15,"Fahey / Recio, Agent","45,000",,,,Camelot Acres
121,,B,C,2/28/2017,Declaration of War,High Maintenance (GB),Danehill,HighMaintenanceGB,"Pick View LLC, Agent I",KY,14,out,,,Withdrawn,Out,,Out,4/11/2019,Pick View LLC
122,,GR/RO,C,5/12/2017,Overanalyze,High Tee,El Corredor,HighTee,Grassroots Training & Sales LLC,ON,J,10.3,139,4/15,"57,000",Not Sold,,,,Grassroots Training & Sales LLC
123,,CH,C,5/15/2017,Strong Mandate,High Wire,Street Cry (IRE),HighWire,"Stephens Thoroughbreds LLC, Agent II",KY,H,21.4,245,4/21,"Taproot, Agent for Ironhorse Racing Stable LLC","57,000",,,,Stephens Thoroughbreds LLC
124,,DB/BR,F,1/27/2017,Palace Malice,Hi Lili,Silver Deputy,HiLili,"Q Bar J Thoroughbreds LLC, Agent VIII",KY,14,21.3,26,4/15,Narvick Int'l,"70,000",,,,Q Bar J Thoroughbreds LLC
125,,CH,F,4/10/2017,Orb,His Beauty,Adcat,HisBeauty,"Randy Miles, Agent XV",KY,18,10.1,108,4/15,Patricia's Hope LLC,"150,000",,,,Miles Randy
