OBS SPRING SALE OF TWO-YEAR-OLDS IN TRAINING,,,,,,,,,,,,,,,,,,,,
"APRIL 19 - 22, 2022",,Revised 8/2/2022,,,,,,,,,,,,,,,,,,
hip#,Name,Color,Sex,Foal Date,Sire,Dam,Dam Sire,Sort By Dam,Consignor,Area ID,Barn,work time,set,day,Buyer ,Price ,PS,Status,Out Date,AlphSort
34,,B,F,4/24/2020,Fast Anna,Voodoo Dancer,Kingmambo,VoodooDancer,"Randy Miles, Agent XII",KY        ,18,10.3,109,4/10,Happy Tenth Stable,"40,000",PS,,,Miles Randy
35,,CH,C,5/30/2020,Munnings,Voyage,Rahy,Voyage,Dark Star Thoroughbreds (Stori Atchison),KY        ,3,10.2,69,4/10,"190,000",Not Sold,,,,Dark Star Thoroughbreds
36,,GR/RO,C,5/1/2020,Cairo Prince,Walloon,Alphabet Soup,Walloon,Bold Arrow Thoroughbreds,KY        ,D,10.3,50,4/10,"45,000",Not Sold,,,,Bold Arrow Thoroughbreds
37,,B,C,3/25/2020,Daredevil,War Flower,War Front,WarFlower,"Randy Miles, Agent V",KY        ,18,10.0,29,4/10,"West Point Thoroughbreds, Inc., L.E.B.,Agent","165,000",,,,Miles Randy
38,,B,F,4/22/2020,City of Light,War Tigress,War Chant,WarTigress,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XI",KY        ,5,out,97,4/10,Withdrawn,Out,,Out,4/19/2022,"Wavertree Stables, Inc."
39,,DB/BR,C,3/29/2020,Army Mule,Water in the Pond,Medaglia d'Oro,WaterinthePond,Black Type Stables,FL        ,G,10.2,54,4/10,Dennis Amaty,"30,000",,,,Black Type Stables
40,,B,F,5/15/2020,City of Light,Wave Theory,Smart Strike,WaveTheory,"Harris Training Center LLC, Agent IV",KY        ,13,out,,,Withdrawn,Out,,Out,4/9/2022,Harris Training Center LLC
41,,CH,F,1/22/2020,Gun Runner,Web o' Gold,Hard Spun,WeboGold,"Mayberry Farm, Agent I",KY        ,B,10.2,40,4/10,"Christina R. Jelm, Agent","65,000",PS,,,Mayberry Farm
42,,DB/BR,C,4/8/2020,Flatter,Welcome Addition,Theatrical (IRE),WelcomeAddition,"de Meric Sales, Agent XXIV",KY        ,12,10.1,64,4/10,"Albert & Kathleen Mattivi, LLC, Ron Ellis Agt","110,000",,,,de Meric Sales
43,,DB/BR,F,5/16/2020,Connect,Well,Well Decorated,Well,"S B M Training and Sales, Agent",KY        ,10,out,34,4/10,Withdrawn,Out,,Out,4/18/2022,S B M Training and Sales
44,,GR/RO,C,2/8/2020,Justify,Well Monied,Maria's Mon,WellMonied,"Scanlon Training & Sales, Agent XXI",KY        ,1,out,,,Withdrawn,Out,,Out,4/10/2022,Scanlon Training Center
45,,B,F,2/29/2020,Kantharos,West Side Dancer,Gone West,WestSideDancer,Ocala Stud,FL        ,4,21.3,6,4/10,Dorothy Raffa,"37,000",,,,Ocala Stud
46,,CH,F,2/17/2020,Nyquist,Westside Tapstress,Lookin At Lucky,WestsideTapstress,"Randy Miles, Agent XXI",KY        ,18,out,,,Withdrawn,Out,,Out,4/10/2022,Miles Randy
47,,DB/BR,F,3/26/2020,No Nay Never,What Say You (IRE),Galileo (IRE),WhatSayYouIRE,"Top Line Sales LLC, Agent XXI",IRE       ,14,10.2,87,4/10,Theta Holding 1 inc,"30,000",,,,Top Line Sales
48,,DB/BR,F,2/19/2020,Sky Kingdom,Where's Kate,Gone Astray,WheresKate,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",FL        ,5,10.2,143,4/10,"17,000",Not Sold,,,,"Wavertree Stables, Inc."
49,,DB/BR,F,4/8/2020,Not This Time,Whiskey Tail,Majestic Warrior,WhiskeyTail,"de Meric Sales, Agent XXXVII",KY        ,12,out,,,Withdrawn,Out,,Out,4/18/2022,de Meric Sales
50,,DB/BR,C,3/30/2020,Flatter,Whisper to Me,Thunder Gulch,WhispertoMe,"Eddie Woods, Agent VIII",KY        ,11,21.3,113,4/10,I Ming Chee,"15,000",,,,Woods Eddie
51,,GR/RO,F,5/1/2020,Ransom the Moon,White Clover,Exchange Rate,WhiteClover,"Navas Equine, Agent",KY        ,G,10.1,115,4/10,Juan Carlos Avila Agt for Lean Entertainment LLC,"70,000",PS,,,Navas Equine
52,,B,C,5/6/2020,Good Samaritan,White Knuckle Ride,Twirling Candy,WhiteKnuckleRide,"Top Line Sales LLC, Agent XLVI",KY        ,14,out,,,Withdrawn,Out,,Out,4/9/2022,Top Line Sales
53,,DB/BR,C,4/1/2020,Liam's Map,Whomping Willow,Mineshaft,WhompingWillow,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXIX",KY        ,5,out,,,Withdrawn,Out,,Out,3/30/2022,"Wavertree Stables, Inc."
54,,CH,F,5/2/2020,Nyquist,Wickedly,Mr. Greeley,Wickedly,"McKathan Bros. Sales, Agent IV",KY        ,6,10.0,96,4/10,Michael J. Levin - Legacy Racing,"250,000",,,,McKathan Bros.
55,,GR/RO,F,4/20/2020,Flatter,Wicked Ride,Candy Ride (ARG),WickedRide,"Julie Davies LLC, Agent VIII",KY        ,15,out,,,Withdrawn,Out,,Out,4/9/2022,Davies Julie
56,,B,F,3/11/2020,Army Mule,Wild At Midnight,Midnight Lute,WildAtMidnight,"Pick View LLC, Agent XX",KY        ,H,10.2,108,4/10,Charles L. Biggs,"47,000",,,,Pick View LLC
57,,B,F,4/10/2020,Candy Ride (ARG),Wild Grace,Forest Wildcat,WildGrace,"Niall Brennan Stables, Agent XXXI",NY        ,8,out,,,Withdrawn,Out,,Out,4/4/2022,Brennan Niall
58,,B,C,4/17/2020,Wicked Strong,Wild Hickory,Terrell,WildHickory,"Omar Ramirez Bloodstock, Agent XVI",KY        ,15,10.0,104,4/10,Saints or Sinners LLC,"50,000",,,,Ramirez Omar
59,,B,F,2/1/2020,Long On Value,Wild Lemon Gal,Lemon Drop Kid,WildLemonGal,"Richardson Bloodstock, Agent",FL        ,6,10.1,114,4/10,"Peter Miller, Agent","75,000",,,,Richardson Bloodstock
60,,DB/BR,C,2/29/2020,Sharp Azteca,Wild Mocha,Medaglia d'Oro,WildMocha,Blas Perez Stables,KY        ,20,10.2,82,4/10,"Ahmad Alabdullatif, Agent","55,000",,,,Perez Stables Blas 
61,,B,C,5/8/2020,Tapwrit,Wild One,War Front,WildOne,"Niall Brennan Stables, Agent XXXIII",NY        ,8,10.2,60,4/10,"47,000",Not Sold,,,,Brennan Niall
62,,DB/BR,F,3/4/2020,Oscar Performance,Wild Silk,Street Sense,WildSilk,"Mayberry Farm, Agent III",KY        ,B,10.1,98,4/10,"100,000",Not Sold,,,,Mayberry Farm
63,,B,F,2/14/2020,Practical Joke,Willowbern,Bernardini,Willowbern,"Scanlon Training & Sales, Agent XVII",KY        ,1,out,,,Withdrawn,Out,,Out,4/10/2022,Scanlon Training Center
64,,B,F,4/5/2020,Runhappy,Wilshewed,Carson City,Wilshewed,"Randy Bradshaw, Agent VI",KY        ,7,out,13,4/10,Withdrawn,Out,,Out,4/19/2022,Bradshaw Randy
65,,CH,F,1/20/2020,Accelerate,Win Crafty,Giant's Causeway,WinCrafty,"Eddie Woods, Agent XXXV",KY        ,11,out,134,4/10,Withdrawn,Out,,Out,4/19/2022,Woods Eddie
66,,B,C,2/18/2020,Curlin,Winding Way,Malibu Moon,WindingWay,"de Meric Sales, Agent V",KY        ,12,10.1,33,4/10,Mayberry Farm,"510,000",,,,de Meric Sales
67,,CH,F,2/11/2020,Distorted Humor,Winning Point,Point Given,WinningPoint,"Paul Sharp, Agent XI",KY        ,C,out,,,Withdrawn,Out,,Out,4/4/2022,Sharp Paul M.
68,,DB/BR,C,5/7/2020,Twirling Candy,Winning Scoop,Bernardini,WinningScoop,"Paul Sharp, Agent V",KY        ,C,11.1,120,4/10,C.H.P.R.,"12,000",,,,Sharp Paul M.
69,,DB/BR,C,1/26/2020,Distorted Humor,Winter Dawn,Sky Mesa,WinterDawn,"Grassroots Training & Sales LLC, Agent",KY        ,J,10.0,1,4/10,Jerry Caroom,"70,000",,,,Grassroots Training & Sales LLC
70,,CH,C,5/6/2020,American Freedom,Winter Solstice,Unbridled,WinterSolstice,"Harris Training Center LLC, Agent II",KY        ,13,22.0,70,4/10,Ron Stolich,"13,000",,,,Harris Training Center LLC
71,,DB/BR,F,2/17/2020,Munnings,Wishful Winking,Rip Van Winkle (IRE),WishfulWinking,"Off the Hook LLC, Agent V",KY        ,13,10.1,14,4/10,Deuce Greathouse & Robert Masterson,"175,000",PS,,,Off the Hook LLC
72,,CH,C,3/26/2020,Jimmy Creed,With Intention,Mr. Greeley,WithIntention,"Cary Frommer LLC, Agent",KY        ,10,10.3,75,4/10,"Joe Hardoon, Agent for Ironhorse Racing Stable LLC","35,000",PS,,,Frommer Cary
73,,DB/BR,F,4/24/2020,Sharp Azteca,Without the Risk,Majestic Warrior,WithouttheRisk,"Top Line Sales LLC, Agent XII",KY        ,14,10.1,68,4/13,Marcello Rosa,"6,000",PS,,,Top Line Sales
74,,DB/BR,F,3/31/2020,Always Dreaming,Wonderfuladventure,Tiz Wonderful,Wonderfuladventure,"Coastal Equine LLC (Jesse Hoppel), Agent VI",KY        ,A,out,,,Withdrawn,Out,,Out,4/10/2022,Coastal Equine LLC
75,,DB/BR,C,5/1/2020,Shackleford,Wonder Upon a Star,Street Cry (IRE),WonderUponaStar,Rose Farm LLC,KY        ,18,22.0,131,4/10,"35,000",Not Sold,,,,Rose Farm LLC
76,Bold Talk,CH,C,4/16/2020,Khozan,Wontoo,Montbrook,Wontoo,"Journeyman Bloodstock Services, Inc.",FL        ,2,21.4,74,4/10,Louis Morici,"17,000",,,,Journeyman Bloodstock
77,,DB/BR,C,4/5/2020,Girvin,Woodland Park,Bernardini,WoodlandPark,Ocala Stud,FL        ,4,out,,,Withdrawn,Out,,Out,4/10/2022,Ocala Stud
78,,CH,C,2/24/2020,Maclean's Music,Woodville,Ghostzapper,Woodville,"Off the Hook LLC, Agent VII",NY        ,13,10.3,136,4/10,Fernando Barron,"15,000",PS,,,Off the Hook LLC
79,,B,C,2/18/2020,Midshipman,Word Association,Benchmark,WordAssociation,Skies Thoroughbreds,KY        ,19,10.2,127,4/10,I Ming Chee,"13,000",,,,Skies Thoroughbreds
80,,B,C,4/23/2020,Mastery,Xtra Spice,Quality Road,XtraSpice,"de Meric Sales, Agent XVII",KY        ,12,10.0,5,4/10,"Michael W. McCarthy, Agent","210,000",,,,de Meric Sales
81,Highway Robber,CH,C,5/2/2020,Hard Spun,Yabba,Lemon Drop Kid,Yabba,"Vickers Racing, Inc., Agent I",KY        ,17,10.2,44,4/10,Jim & Susan Hill,"30,000",,,,Vickers Racing
82,Stormin' Amanda,B,F,4/12/2020,Storm Wolf,Yeardley,Don't Get Mad,Yeardley,"Silvestre Chavez Thoroughbreds, Agent VI",MD        ,16,out,52,4/10,Withdrawn,Out,,Out,4/10/2022,Chavez Thoroughbreds Silvestre 
83,,DB/BR,F,3/27/2020,Uncaptured,Yes It's Valid,Yes It's True,YesItsValid,Hawk's Rest LLC,FL        ,3,10.1,27,4/10,"Bradley Thoroughbreds LLC, Agent","140,000",,,,Hawk's Rest LLC
84,,B,F,2/17/2020,Uncle Mo,Yesshewill,Giant's Causeway,Yesshewill,"Britton Peak, Agent I",KY        ,16,10.3,91,4/10,"Marron Road Venture, Mike Pender Agent","40,000",PS,,,Britton Peak
85,,B,C,4/30/2020,Bucchero,Yoly Luckey,Blame,YolyLuckey,"Julie Davies LLC, Agent II",FL        ,15,10.3,103,4/10,Joseph Graffeo,"28,000",PS,,,Davies Julie
86,,CH,F,5/7/2020,Ghostzapper,Yoo Dre,Giant's Causeway,YooDre,"Eisaman Equine, Agent",KY        ,7,10.3,132,4/10,Cathal Lynch,"50,000",,,,Eisaman Equine
87,,B,F,3/30/2020,Tapiture,Youngnflashy,Flashy Bull,Youngnflashy,"Grassroots Training & Sales LLC, Agent",KY        ,J,9.4,83,4/10,Dennis O'Neill,"150,000",,,,Grassroots Training & Sales LLC
88,,GR/RO,F,3/11/2020,Cross Traffic,Your Flame in Me,Boundary,YourFlameinMe,"Pick View LLC, Agent XV",MD        ,H,20.4,62,4/10,C2 Racing Stable LLC,"125,000",,,,Pick View LLC
89,,B,F,5/1/2020,Distorted Humor,Zetta Z,Bernardini,ZettaZ,"Scanlon Training & Sales, Agent XV",KY        ,1,10.0,10,4/10,"200,000",Not Sold,,,,Scanlon Training Center
90,,GR/RO,C,5/12/2020,Liam's Map,Zooey,Exchange Rate,Zooey,"Omar Ramirez Bloodstock, Agent V",KY        ,15,10.1,19,4/10,Scott Gelner,"105,000",PS,,,Ramirez Omar
91,,B,C,4/3/2020,Ghostzapper,Abatis,Aptitude,Abatis,"Grassroots Training & Sales LLC, Agent",KY        ,J,10.3,107,4/10,"Richie's World Stables, LLC - Juan Vazquez, Agent","15,000",PS,,,Grassroots Training & Sales LLC
92,,DB/BR,F,4/2/2020,Cloud Computing,A Bit of Pressure,High Yield,ABitofPressure,White Lilac,KY        ,6,10.2,49,4/10,"32,000",Not Sold,,,,White Lilac
93,,DB/BR,F,2/19/2020,Bernardini,Above Fashion,Paddy O'Prado,AboveFashion,"Niall Brennan Stables, Agent XXV",NY        ,8,10.1,8,4/10,"West Bloodstock, Agent for Repole Stable, Inc.","250,000",,,,Brennan Niall
94,Cabana Girl,CH,F,2/10/2020,Accelerate,Above the Crowd,Discreetly Mine,AbovetheCrowd,"Medallion Farms, Agent I",KY        ,E,10.3,119,4/10,"Big Toe Stable, Steve Klesaris Agent","16,000",PS,,,Medallion Farms
95,,B,C,4/9/2020,Mendelssohn,Absatootly,Mineshaft,Absatootly,"All Dreams Equine, Agent III",KY        ,20,out,46,4/10,Withdrawn,Out,,Out,4/11/2022,All Dreams Equine
96,,DB/BR,C,3/13/2020,Awesome Slew,Absolute Madness,West Acre,AbsoluteMadness,"S B M Training and Sales, Agent I",FL        ,10,10.4,133,4/10,"32,000",Not Sold,,,,S B M Training and Sales
97,,B,C,4/30/2020,Practical Joke,Ack Naughty,Afleet Alex,AckNaughty,"Eisaman Equine, Agent",KY        ,7,10.1,25,4/10,"Pierre Amestoy, Leslie Amestoy, Roger Bersley","230,000",,,,Eisaman Equine
98,,DB/BR,C,4/2/2020,Creative Cause,Ada Lovelace,Algorithms,AdaLovelace,"Grassroots Training & Sales LLC, Agent I",WV        ,J,10.3,128,4/10,"Bruno DeBerdt, Agent for Anaaf Co","90,000",,,,Grassroots Training & Sales LLC
99,,DB/BR,F,5/25/2020,Awesome Slew,Additional Prayer,Songandaprayer,AdditionalPrayer,"RiceHorse Stable (Brandon & Ali Rice), Agent",FL        ,6,10.1,116,4/10,"Joe Hardoon, Agent for Gold Square LLC","220,000",,,,RiceHorse
100,,B,F,2/28/2020,Fed Biz,Ad In,Street Cry (IRE),AdIn,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",KY        ,5,21.2,61,4/10,"Peter Miller, Agent","50,000",,,,"Wavertree Stables, Inc."
101,,DB/BR,C,1/19/2020,Bucchero,Adios Dawn,Adios Charlie,AdiosDawn,"Coastal Equine LLC (Jesse Hoppel), Agent V",FL        ,A,10.2,21,4/10,Volar Corp,"40,000",PS,,,Coastal Equine LLC
102,,DB/BR,F,2/15/2020,Munnings,Adjulate,Flatter,Adjulate,"Scanlon Training & Sales, Agent I",OH        ,1,out,,,Withdrawn,Out,,Out,4/10/2022,Scanlon Training Center
103,,DB/BR,F,3/15/2020,Union Rags,Afleet Alexsis,Northern Afleet,AfleetAlexsis,Advanced Thoroughbreds LLC,KY        ,2,10.3,47,4/10,Warren Cheekes,"20,000",,,,Advanced Thoroughbreds LLC
104,,GR/RO,C,5/17/2020,Justify,Aguilera,Unbridled's Song,Aguilera,"Randy Bradshaw, Agent I",KY        ,7,out,59,4/10,Withdrawn,Out,,Out,4/19/2022,Bradshaw Randy
105,,DB/BR,F,4/19/2020,Honor Code,Ainsley,Officer,Ainsley,"Mayberry Farm, Agent V",KY        ,B,10.3,147,4/10,"30,000",Not Sold,,,,Mayberry Farm
106,,B,C,3/24/2020,Constitution,Alice B Winkle,Gone Astray,AliceBWinkle,"Grassroots Training & Sales LLC, Agent",FL        ,J,out,31,4/10,Withdrawn,Out,,Out,4/18/2022,Grassroots Training & Sales LLC
107,,DB/BR,F,4/28/2020,Candy Ride (ARG),Alien Giant,Giant's Causeway,AlienGiant,"Eddie Woods, Agent XXII",KY        ,11,out,42,4/10,Withdrawn,Out,,Out,4/18/2022,Woods Eddie
108,,GR/RO,C,2/23/2020,Mo Town,All Day Donna,Value Plus,AllDayDonna,Brick City Thoroughbreds,KY        ,13,10.1,56,4/10,Raymond Kuah,"150,000",,,,Brick City Thoroughbreds
109,,GR/RO,F,5/5/2020,Candy Ride (ARG),Allegory,Unbridled's Song,Allegory,"de Meric Sales, Agent III",KY        ,12,out,,,Withdrawn,Out,,Out,4/10/2022,de Meric Sales
110,,CH,F,4/3/2020,Good Magic,All for Georgia,Giant's Causeway,AllforGeorgia,"Cruzin' Thoroughbreds, Agent",KY        ,3,10.2,142,4/10,C.H.P.R.,"12,000",PS,,,Cruz Brayhan
111,,DB/BR,C,4/23/2020,Girvin,Almost a Valentine,High Cotton,AlmostaValentine,Ocala Stud,FL        ,4,out,,,Withdrawn,Out,,Out,4/10/2022,Ocala Stud
112,,B,C,3/2/2020,Girvin,Alotofappeal,Trippi,Alotofappeal,Ocala Stud,FL        ,4,21.0,32,4/10,Champion Equine LLC,"300,000",,,,Ocala Stud
113,,CH,C,3/22/2020,Noble Bird,A Lot of Drops,Numerous,ALotofDrops,Hawk's Rest LLC,FL        ,3,out,135,4/10,Withdrawn,Out,,Out,4/16/2022,Hawk's Rest LLC
114,,DB/BR,C,4/21/2020,Protonico,Amadeus Melody (GB),Amadeus Wolf (GB),AmadeusMelodyGB,"Eddie Woods, Agent XVIII",KY        ,11,out,,,Withdrawn,Out,,Out,4/10/2022,Woods Eddie
115,,DB/BR,C,4/28/2020,Mastery,Amazing Shoes,Empire Maker,AmazingShoes,Blas Perez Stables,KY        ,20,10.3,139,4/10,"GMP Stables, LLC","50,000",,,,Perez Stables Blas 
116,,B,C,5/1/2020,Goldencents,Ambush Woman,Divine Park,AmbushWoman,"Cary Frommer LLC, Agent",KY        ,10,out,,,Withdrawn,Out,,Out,3/22/2022,Frommer Cary
117,,B,C,5/7/2020,Good Magic,American Romance,Successful Appeal,AmericanRomance,"Pick View LLC, Agent III",KY        ,H,11.0,141,4/10,Maxine Simms,"7,000",,,,Pick View LLC
118,,B,F,5/2/2020,Curlin,America's Starlet,Concord Point,AmericasStarlet,"Off the Hook LLC, Agent XVI",KY        ,13,out,,,Withdrawn,Out,,Out,4/10/2022,Off the Hook LLC
119,,CH,C,2/17/2020,Munnings,Anandi,Anabaa,Anandi,"Kings Equine, Agent II",KY        ,1,10.1,26,4/10,Brian Lynch,"55,000",,,,Kings Equine
120,,B,F,5/4/2020,Collected,And Stay Out,Exchange Rate,AndStayOut,"Randy Miles, Agent XIV",KY        ,18,out,,,Withdrawn,Out,,Out,4/10/2022,Miles Randy
121,,CH,F,3/24/2020,Speightster,Anfield Rose,Wilburn,AnfieldRose,"Randy Miles, Agent XII",KY        ,18,9.4,37,4/10,Southern Springs Stables / Brothers Edmondson,"150,000",,,,Miles Randy
122,,B,F,2/10/2020,Practical Joke,Anjorie,A. P Jet,Anjorie,"Global Thoroughbreds, LLC, Agent I",NY        ,15,10.0,79,4/10,"100,000",Not Sold,,,,Global Thoroughbreds LLC
123,,CH,F,5/5/2020,Collected,Anna Pavlova,Unbridled's Song,AnnaPavlova,"CM Thoroughbreds, Agent I",KY        ,17,10.4,51,4/10,Agustin F. Cordero,"20,000",PS,,,CM Thoroughbreds
124,Mariachi,DB/BR,C,2/3/2020,Maclean's Music,Ante Up My Friend,Friend Or Foe,AnteUpMyFriend,"Sequel Bloodstock, Agent for Chester & Mary Broman",NY        ,9,out,123,4/10,Withdrawn,Out,,Out,4/10/2022,Sequel Bloodstock
125,,DB/BR,F,5/3/2020,More Than Ready,Antonia Autumn,Bernstein,AntoniaAutumn,"Lucan Bloodstock (Karl Keegan), Agent II",KY        ,16,out,106,4/10,Withdrawn,Out,,Out,4/19/2022,Lucan Bloodstock
