2023 OBS Spring Sale,,,,,,,,,,,,,,,,,,,,
"April 25-28, 2023",,Adjusted 7/28/23,,,,,,,,,,,,,,,,,,
Hip,Name,Color,Sex,Foal Date,Sire,Dam,Damsire,Sort by Dam,Consignor,State,Barn,UT Time,Set,Day,Buyer,Price,Post Sale,Out,Out Date,Alphabetic Consignor Sort
11,,GR/RO,C,4/18/2021,Arrogate,Afleeting Lisa,Afleet Alex,AfleetingLisa,"Mayberry Farm, Agent V",KY,B,10.4,47,16-Apr,Mike Maker,"45,000",PS,,,Mayberry Farm
12,,GR/RO,C,1/21/2021,Cloud Computing,After the Rose,Pioneerof the Nile,AftertheRose,"Blas Perez Stables, Agent II",KY,20,10.1,95,16-Apr,Nicholas Cammarano,"45,000",PS,,,Perez Stables Blas 
13,,B,C,2/19/2021,Preservationist,Aggregator,Graydar,Aggregator,Shooting Star Sales LLC,KY,G,10.3,76,16-Apr,S.R.O.A. (KOID),"30,000",,,,Shooting Star Sales LLC
14,,B,C,5/8/2021,Bolt d'Oro,Agressive Elegance,Macho Uno,AgressiveElegance,"Longoria Training & Sales, Agent I",OH,13,10.1,62,16-Apr,David Wolochuk,"130,000",,,,Longoria Training & Sales
15,,B,C,4/13/2021,Frosted,Ahh Chocolate,Candy Ride (ARG),AhhChocolate,"Ocala Stud, Agent",KY,4,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Ocala Stud
16,,B,F,2/20/2021,Twirling Candy,Ain't She Sweet,Storm Cat,AintSheSweet,"Oak Creek Thoroughbreds, Agent I",KY,16,21.2,84,16-Apr,"N. Tremblay / Howg, etc.","190,000",,,,Oak Creek Thoroughbreds
17,,CH,F,4/25/2021,Distorted Humor,Aireofdistinction,Songandaprayer,Aireofdistinction,"Julie Davies LLC, Agent VIII",KY,19,10.2,131,16-Apr,"75,000",Not Sold,,,,Davies Julie
18,,DB/BR,C,5/7/2021,Constitution,Akris Queen,Arch,AkrisQueen,"Omar Ramirez Bloodstock, Agent XXVII",NY,15,out,,16-Apr,Withdrawn,Out,,out,4/13/2023,Ramirez Omar
19,,CH,C,4/15/2021,Constitution,Allez Marie,Unbridled's Song,AllezMarie,"de Meric Sales, Agent I",KY,12,10.1,5,16-Apr,"Cherie De Vaux, Agent for Belladonna Racing V","500,000",,,,de Meric Sales
20,,CH,F,2/21/2021,Candy Ride (ARG),Alliford Bay,City Zip,AllifordBay,"Coastal Equine LLC (Jesse Hoppel), Agent XXIII",KY,A,10.0,4,16-Apr,MyRacehorse and Owlcatraz Racing Stable,"160,000",,,,Coastal Equine LLC
21,,DB/BR,F,4/14/2021,West Coast,Allonge,Giant's Causeway,Allonge,"Davis Breaking and Training, Inc., Agent I",KY,17,10.4,126,16-Apr,"25,000",Not Sold,,,,"Davis Breaking and Training, Inc."
22,,DB/BR,C,3/8/2021,Jimmy Creed,All That Glitters,Harlan's Holiday,AllThatGlitters,"Grassroots Training & Sales LLC, Agent",OK,J,10.1,35,16-Apr,Mike Maker,"50,000",,,,Grassroots Training & Sales LLC
23,Miss Mighty Mitole,B,F,2/22/2021,Mitole,Almighty Miracle,Goldencents,AlmightyMiracle,"Grassroots Training & Sales LLC, Agent II",KY,J,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Grassroots Training & Sales LLC
24,,CH,F,2/14/2021,Flameaway,Alpha Charlie,Eddington,AlphaCharlie,"Ordonez Thoroughbreds, Agent II",NY,20,10.2,83,16-Apr,"West Point Thoroughbreds, L.E.B., Agent","105,000",,,,Ordonez Thoroughbreds
25,,DB/BR,F,5/9/2021,Lookin At Lucky,Already Packed,More Than Ready,AlreadyPacked,"Eddie Woods, Agent XVII",KY,11,out,,16-Apr,Withdrawn,Out,,out,3/28/2023,Woods Eddie
26,,B,F,4/7/2021,Blame,Always Pleasant,Awesome Again,AlwaysPleasant,"Bobby Dodd, Agent",KY,10,10.2,25,16-Apr,Ahmad Alabdullatif,"80,000",,,,Dodd Bobby
27,,CH,C,4/18/2021,Kantharos,Always Right,Arch,AlwaysRight,"Tom McCrocklin, Agent XXVIII",KY,2,20.4,86,16-Apr,"Joseph Migliore, Agent","150,000",,,,McCrocklin Tom
28,,DB/BR,C,2/3/2021,Yoshida (JPN),Amber Grace,Elusive Quality,AmberGrace,"Crane Thoroughbred Services LLC, Agent",PA,19,out,130,16-Apr,Withdrawn,Out,,out,4/19/2023,Crane Clovis
29,,DB/BR,C,4/4/2021,Dialed In,American Valor,Forestry,AmericanValor,"Off the Hook LLC, Agent XX",KY,13,out,,16-Apr,Withdrawn,Out,,out,4/19/2023,Off the Hook LLC
30,,CH,C,3/9/2021,Nyquist,Angel Craft,A.P. Indy,AngelCraft,Shooting Star Sales LLC,NY,G,10.1,13,16-Apr,Michael Cloonan,"27,000",,,,Shooting Star Sales LLC
31,,GR/RO,F,2/1/2021,Constitution,Angelo's Ashes,Exchange Rate,AngelosAshes,"Top Line Sales LLC, Agent XXXV",KY,14,10.1,51,16-Apr,"Gayle Van Leer, Agent","70,000",,,,Top Line Sales
32,,B,C,3/5/2021,City of Light,Annadale,Speightstown,Annadale,"Eddie Woods, Agent LV",KY,11,21.3,14,16-Apr,Larry Allen,"37,000",,,,Woods Eddie
33,,CH,C,3/5/2021,Good Magic,Annathela,Elusive Quality,Annathela,"McKathan Bros. Sales, Agent",KY,6,out,44,16-Apr,Withdrawn,Out,,out,4/16/2023,McKathan Bros.
34,,CH,C,2/22/2021,Free Drop Billy,Another Please,Flower Alley,AnotherPlease,"de Meric Sales, Agent XLV",FL,12,10.4,119,16-Apr,S.R.O.A. (KOID),"25,000",,,,de Meric Sales
35,,B,F,5/19/2021,Mitole,Any Given Trace,Any Given Saturday,AnyGivenTrace,"Niall Brennan Stables, Agent III",LA,8,10.1,81,16-Apr,"Klaravich Stable, Inc.","200,000",,,,Brennan Niall
36,,B,F,4/27/2021,Classic Empire,Apple Martini,Giant's Causeway,AppleMartini,Brick City Thoroughbreds,KY,13,out,127,16-Apr,Withdrawn,Out,,out,4/23/2023,Brick City Thoroughbreds
37,,DB/BR,F,2/18/2021,Flameaway,Appreciating,Sky Mesa,Appreciating,"S G V Thoroughbreds LLC (Steven Venosa), Agent",KY,1,9.4,43,16-Apr,Danny Eplin,"140,000",PS,,,S G V Thoroughbreds
38,,B,F,2/2/2021,Hard Spun,April True,Yes It's True,AprilTrue,"Eddie Woods, Agent LVIII",FL,11,out,52,16-Apr,Withdrawn,Out,,out,4/25/2023,Woods Eddie
39,,B,F,3/6/2021,West Coast,Aqua Regia,Pollard's Vision,AquaRegia,"Harris Training Center LLC, Agent VII",VA,13,21.0,33,16-Apr,Mark Norman,"70,000",,,,Harris Training Center LLC
40,,B,F,4/5/2021,Cloud Computing,Aquemini,Wildcat Heir,Aquemini,"Top Line Sales LLC, Agent V",NY,14,out,,16-Apr,Withdrawn,Out,,out,4/14/2023,Top Line Sales
41,,B,F,3/19/2021,Practical Joke,Arbitress,Tiznow,Arbitress,"Global Thoroughbreds LLC, Agent",KY,10,21.2,8,16-Apr,Pierre & Leslie Amestoy and Roger K. Beasley,"100,000",,,,Global Thoroughbreds LLC
42,,B,C,3/16/2021,West Coast,Arch of Troy,Archarcharch,ArchofTroy,"Global Thoroughbreds LLC, Agent",KY,10,10.2,59,16-Apr,S.R.O.A. (KOID),"40,000",,,,Global Thoroughbreds LLC
43,,GR/RO,C,5/13/2021,Frosted,Archstone,Arch,Archstone,"S B M Training and Sales, Agent IV",KY,3,10.4,135,16-Apr,Charles Fiumano,"30,000",PS,,,S B M Training and Sales
44,,DB/BR,C,4/3/2021,Tapiture,Ashley's Babe,Put It Back,AshleysBabe,"Top Line Sales LLC, Agent LVII",KY,14,10.1,74,16-Apr,Kerri Radcliffe Agent for  Lindy Farm,"60,000",PS,,,Top Line Sales
45,,DB/BR,C,3/2/2021,Classic Empire,Aspen Hilltop,Bernardini,AspenHilltop,"Eddie Woods, Agent LVII",KY,11,10.2,87,16-Apr,"K.O.I.D. Co., Ltd. (Lee Han Joon)","85,000",,,,Woods Eddie
46,,CH,C,1/31/2021,Munnings,Athehsa,Big Brown,Athehsa,"Scanlon Training & Sales, Agent II",KY,1,10.3,108,16-Apr,PWF,"50,000",,,,Scanlon Training Center
47,,CH,C,4/22/2021,Flatter,Atlantic Dream,Stormy Atlantic,AtlanticDream,"Lucan Bloodstock (Karl Keegan), Agent I",KY,18,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Lucan Bloodstock
48,,CH,F,4/12/2021,Preservationist,A True Pussycat,Yes It's True,ATruePussycat,"Randy Miles, Agent IX",NY,18,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Miles Randy
49,,B,C,4/8/2021,Mendelssohn,Auction (IRE),Mr. Greeley,AuctionIRE,"Brick City Thoroughbreds, Agent I",KY,13,22.0,20,16-Apr,Ted Barlas,"4,000",,,,Brick City Thoroughbreds
50,,B,C,3/3/2021,Runhappy,Augusta Queen,Forestry,AugustaQueen,"Scanlon Training & Sales, Agent XIV",KY,1,10.0,53,16-Apr,Doyle Williams,"130,000",,,,Scanlon Training Center
51,,B,F,5/13/2021,Munnings,Aunt Dot Dot,Gulch,AuntDotDot,"Hartley / DeRenzo Thoroughbreds LLC, Agent II",KY,5,10.0,63,16-Apr,"Mike Ryan, Agent","300,000",,,,Hartley / DeRenzo Thoroughbreds LLC
52,,B,F,3/30/2021,Mitole,Aunt Glo,Awesome Again,AuntGlo,"Cary Frommer LLC, Agent",NY,10,out,121,16-Apr,Withdrawn,Out,,out,4/17/2023,Frommer Cary
53,,CH,C,4/20/2021,Mor Spirit,Auntie's the One,Exchange Rate,AuntiestheOne,"Lucan Bloodstock (Karl Keegan), Agent",NY,18,out,34,16-Apr,Withdrawn,Out,,out,4/25/2023,Lucan Bloodstock
54,,B,F,5/14/2021,Catalina Cruiser,Aura of the Moon,Tiznow,AuraoftheMoon,J & R Thoroughbreds LLC,KY,2,10.3,73,16-Apr,Eric Foster,"35,000",,,,J & R Thoroughbreds LLC
55,,B,F,4/7/2021,Runhappy,Aurore,Arch,Aurore,"Coastal Equine LLC (Jesse Hoppel), Agent IV",KY,A,10.1,37,16-Apr,"Bradley Thoroughbreds LLC, Agent","65,000",,,,Coastal Equine LLC
56,,B,C,3/26/2021,Frosted,Auspicious Babe,Bodemeister,AuspiciousBabe,Bird In Hand Stables,KY,C,10.2,65,16-Apr,"Gayle Van Leer, Agent","50,000",,,,Bird In Hand Stables
57,,CH,F,3/16/2021,Midshipman,Avoree Noel,Lion Tamer,AvoreeNoel,J V C Training and Sales,KY,13,20.4,71,16-Apr,"Christina R. Jelm for Hollendorfer, LLC","75,000",PS,,,J V C Training and Sales
58,,B,F,2/25/2021,Hard Spun,Awesome d'Oro (IRE),Medaglia d'Oro,AwesomedOroIRE,"Centofanti Thoroughbreds, Agent III",KY,15,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Centofanti Thoroughbreds
59,,DB/BR,C,4/22/2021,Midnight Lute,Awesome Mary,Awesome Again,AwesomeMary,"Oak Creek Thoroughbreds, Agent I",KY,16,out,,16-Apr,Withdrawn,Out,,out,3/30/2023,Oak Creek Thoroughbreds
60,,DB/BR,C,3/15/2021,Nyquist,Awesome Wild Girl (IRE),Awesome Again,AwesomeWildGirlIRE,"S G V Thoroughbreds LLC (Steven Venosa), Agent",KY,1,10.1,110,16-Apr,"Phillip Lebherz, Rusty Brown, Rick Pitino","180,000",PS,,,S G V Thoroughbreds
61,,GR/RO,F,4/28/2021,Quality Road,Ayaady,Tapit,Ayaady,"Omar Ramirez Bloodstock, Agent II",KY,15,out,19,16-Apr,Withdrawn,Out,,out,4/25/2023,Ramirez Omar
62,,B,C,1/12/2021,Street Sense,Aymara,Speightstown,Aymara,"Niall Brennan Stables, Agent IX",KY,8,10.1,15,16-Apr,Wise Racing,"250,000",,,,Brennan Niall
63,,CH,F,2/17/2021,Catholic Boy,Bajan Beach,Speightstown,BajanBeach,"Ordonez Thoroughbreds, Agent I",NY,20,10.3,103,22-Apr,Clear Stars Stable & Mitre Box Stable,"50,000",,,,Ordonez Thoroughbreds
64,,B,C,4/21/2021,Oscar Performance,Balance,Thunder Gulch,Balance,"Eisaman Equine, Agent",KY,7,10.2,40,16-Apr,"Cherie De Vaux, Agent for Belladonna Racing V","330,000",,,,Eisaman Equine
65,Classic Ballad,B,F,4/2/2021,Classic Empire,Ballad,Tapit,Ballad,"Azpurua Stables, Agent I",FL,16,10.1,60,16-Apr,"35,000",Not Sold,,,,Azpurua Stables
66,,B,C,4/1/2021,Kingman (GB),Baltic Best (IRE),King's Best,BalticBestIRE,"Niall Brennan Stables, Agent I",GB,8,out,129,16-Apr,Withdrawn,Out,,out,4/16/2023,Brennan Niall
67,,B,C,1/29/2021,Catalina Cruiser,Banner Waving,Speightstown,BannerWaving,Dark Star Thoroughbreds (Stori Atchison),FL,19,10.2,28,16-Apr,"K.O.I.D. Co., Ltd.","50,000",,,,Dark Star Thoroughbreds
68,Slammin Gold,CH,C,3/30/2021,Tapit,Bar of Gold,Medaglia d'Oro,BarofGold,"Sequel Bloodstock, Agent for Chester & Mary Broman",NY,9,out,,16-Apr,Withdrawn,Out,,out,4/5/2023,Sequel Bloodstock
69,,DB/BR,C,3/11/2021,Nyquist,Bawlmer Hon,Silver Train,BawlmerHon,"Cary Frommer LLC, Agent",MD,10,out,38,16-Apr,Withdrawn,Out,,out,4/17/2023,Frommer Cary
70,,DB/BR,F,4/27/2021,Upstart,Bay Finn,Harlan's Holiday,BayFinn,"Grassroots Training & Sales LLC, Agent II",NY,J,10.3,117,16-Apr,"42,000",Not Sold,,,,Grassroots Training & Sales LLC
71,,B,F,1/19/2021,Vino Rosso,Beautissimo,Uncle Mo,Beautissimo,"Top Line Sales LLC, Agent XV",FL,14,9.4,2,16-Apr,Peter Redekop BC Limited,"175,000",,,,Top Line Sales
72,,B,F,4/28/2021,Accelerate,Beauty Buzz,Bernardini,BeautyBuzz,"Top Line Sales LLC, Agent X",KY,14,10.3,115,16-Apr,Angel L. Del Valle Matos,"15,000",,,,Top Line Sales
73,,B,F,2/8/2021,Practical Joke,Becky's Best,Elusive Quality,BeckysBest,"de Meric Sales, Agent XXXIV",KY,12,out,91,16-Apr,Withdrawn,Out,,out,4/25/2023,de Meric Sales
74,Eligio,B,C,2/8/2021,Congrats,Becky's Bluegrass,Macho Uno,BeckysBluegrass,"Eddie Woods, Agent LVII",KY,11,22.0,96,16-Apr,Mary Lee Pinkerton,"42,000",,,,Woods Eddie
75,,B,C,4/21/2021,Gun Runner,Be Fair,Exchange Rate,BeFair,"Hidden Brook, Agent I",FL,9,10.1,21,16-Apr,Mitsu Nakauchida,"200,000",,,,Hidden Brook Farm
76,,B,F,2/19/2021,Audible,Be Fruitful,Pulpit,BeFruitful,"Mayberry Farm, Agent V",KY,B,10.4,137,16-Apr,Mike Maker,"45,000",PS,,,Mayberry Farm
77,,CH,F,4/22/2021,Omaha Beach,Belatrix,Giant's Causeway,Belatrix,"Off the Hook LLC, Agent II",ON,13,10.0,9,16-Apr,Maverick Racing & Siena Farms LLC,"375,000",,,,Off the Hook LLC
78,,DB/BR,F,4/9/2021,Midshipman,Bella Biondetti,Biondetti,BellaBiondetti,"Oak Creek Thoroughbreds, Agent I",KY,16,10.0,18,16-Apr,Tommy Town Thoroughbreds LLC,"205,000",,,,Oak Creek Thoroughbreds
79,,CH,C,4/17/2021,First Samurai,Bella Moneta,Max's Pal,BellaMoneta,Grassroots Training & Sales LLC,KY,J,10.3,94,16-Apr,Badan Alsubaie,"35,000",,,,Grassroots Training & Sales LLC
80,,B,F,4/28/2021,Good Magic,Bella's Flair,Bellamy Road,BellasFlair,"Grassroots Training & Sales LLC, Agent",NY,J,10.2,66,16-Apr,Clear Stars Stable & Mitre Box Stable,"75,000",,,,Grassroots Training & Sales LLC
81,,CH,C,2/28/2021,Curlin,Bellavais,Tapit,Bellavais,"de Meric Sales, Agent II",KY,12,10.2,39,16-Apr,Winchell Thoroughbreds LLC,"310,000",,,,de Meric Sales
82,,GR/RO,C,3/22/2021,Mastery,Belle Chloe,Marchfield,BelleChloe,Global Thoroughbreds LLC,KY,10,22.1,103,16-Apr,C.H.P.R. & R.M. Stable,"30,000",,,,Global Thoroughbreds LLC
83,Buccherino,B,C,2/14/2021,Bucchero,Bellimbusto,First Dude,Bellimbusto,"Blue River Bloodstock, Inc., Agent I",FL,19,10.0,58,16-Apr,"Happy Tenth Stable, Alfredo Velasquez, Agent","75,000",,,,Blue River Bloodstock
84,,DB/BR,C,3/26/2021,Vino Rosso,Bending Strings,American Chance,BendingStrings,"Golden Rock Thoroughbreds, Agent VI",KY,D,10.3,128,16-Apr,Eric Foster,"47,000",,,,Golden Rock Thoroughbreds
85,,B,C,3/10/2021,Street Sense,Bernadetta,Bernardini,Bernadetta,"White Pine Thoroughbreds, Agent I",KY,D,out,,16-Apr,Withdrawn,Out,,out,4/10/2023,White Pine Thoroughbreds
86,,B,C,3/8/2021,Liam's Map,Bernatina,Bernardini,Bernatina,"McKathan Bros. Sales, Agent",KY,6,out,,16-Apr,Withdrawn,Out,,out,4/15/2023,McKathan Bros.
87,,B,F,3/15/2021,Candy Ride (ARG),Best Performance,Broken Vow,BestPerformance,"de Meric Sales, Agent III",KY,12,out,67,16-Apr,Withdrawn,Out,,out,4/20/2023,de Meric Sales
88,,B,F,4/9/2021,Audible,Bide a Wee Island,Sligo Bay (IRE),BideaWeeIsland,"Oak Creek Thoroughbreds, Agent I",KY,16,10.2,138,16-Apr,"60,000",Not Sold,,,,Oak Creek Thoroughbreds
89,,CH,C,4/28/2021,Practical Joke,Big Thrill,Big Drama,BigThrill,"Grade One Investments LLC, Agent I",NY,14,10.0,69,16-Apr,Reeves Thoroughbred Racing,"230,000",,,,Grade One Investments LLC
90,,GR/RO,C,5/15/2021,Cairo Prince,Biofuel,Stormin Fever,Biofuel,CM Thoroughbreds,KY,E,21.0,22,16-Apr,Rohan Crichton,"65,000",,,,CM Thoroughbreds
91,Suit Me Up Charlie,B,C,4/5/2021,Adios Charlie,Birthday Suit,Freud,BirthdaySuit,"Six K's Training & Sales LLC, Agent III",FL,7,10.1,54,16-Apr,"37,000",Not Sold,,,,Six K's Training & Sales LLC
92,,CH,F,2/9/2021,Mendelssohn,Bitterroot,Not For Love,Bitterroot,"de Meric Sales, Agent XLIV",NY,12,10.3,134,16-Apr,Jim Zahler,"50,000",,,,de Meric Sales
93,,DB/BR,F,3/17/2021,Medaglia d'Oro,Black Canary,War Front,BlackCanary,"Hidden Brook, Agent for Bonne Chance Farm LLC",KY,9,21.4,75,16-Apr,Eclipse Thoroughbred Partners / Gary Barber,"175,000",,,,Hidden Brook Farm
94,,B,F,4/18/2021,Maximus Mischief,Blackhawk Honey,Malabar Gold,BlackhawkHoney,"Ordonez Thoroughbreds, Agent III",KY,20,10.0,12,16-Apr,"Peter Miller, Agent","135,000",,,,Ordonez Thoroughbreds
95,,CH,C,5/23/2021,Mendelssohn,Blazen Betsy,Speightstown,BlazenBetsy,"Julie Davies LLC, Agent XXIV",KY,19,10.0,79,16-Apr,"Ben McElroy, Agent for K.S.I.","300,000",,,,Davies Julie
96,,GR/RO,C,4/25/2021,Speightster,Bliss,Flashy Bull,Bliss,"Top Line Sales LLC, Agent III",KY,14,out,,16-Apr,Withdrawn,Out,,out,4/14/2023,Top Line Sales
97,,DB/BR,F,5/11/2021,Destin,Blossomed in Time,Flower Alley,BlossomedinTime,Goldencents Thoroughbreds,NY,E,10.2,112,16-Apr,Nova Stables LLC,"37,000",,,,Goldencents Thoroughbreds
98,Celestial Express,GR/RO,F,1/31/2021,Tapwrit,Blue Angel Express,Marciano,BlueAngelExpress,"Grassroots Training & Sales LLC, Agent II",FL,J,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Grassroots Training & Sales LLC
99,,DB/BR,C,3/22/2021,Coal Front,Bluebrass Belle,Bluegrass Cat,BluebrassBelle,Goldencents Thoroughbreds,NY,E,10.2,32,16-Apr,"Dave Cannizzo, Agent","35,000",,,,Goldencents Thoroughbreds
100,,B,C,5/17/2021,Laoban,Blue Claret,Bluegrass Cat,BlueClaret,"RiceHorse Stable (Brandon & Ali Rice), Agent XII",NY,6,11.0,136,16-Apr,S.R.O.A. (KOID),"20,000",,,,RiceHorse
101,,B,C,4/6/2021,Oscar Performance,Blue Collar,Majestic Warrior,BlueCollar,"Silvestre Chavez Thoroughbreds, Agent VIII",KY,17,out,,16-Apr,Withdrawn,Out,,out,4/10/2023,Chavez Thoroughbreds Silvestre 
102,,GR/RO,C,3/10/2021,Midshipman,Blue Dress,Danzig,BlueDress,Grassroots Training & Sales LLC,KY,J,10.4,89,16-Apr,Mr. B,"37,000",,,,Grassroots Training & Sales LLC
103,,GR/RO,C,3/29/2021,Violence,Blues Corner,Bluegrass Cat,BluesCorner,"Richardson Bloodstock, Agent",KY,6,10.0,55,16-Apr,MyRacehorse & Edge Racing,"400,000",,,,Richardson Bloodstock
104,,B,C,3/9/2021,Audible,Blues Legend,Mr. Greeley,BluesLegend,RiceHorse Stable (Brandon & Ali Rice),ON,6,10.2,46,16-Apr,"95,000",Not Sold,,,,RiceHorse
105,,B,F,1/26/2021,Mitole,Blue Union Rags,Union Rags,BlueUnionRags,"Mayberry Farm, Agent V",KY,B,out,97,16-Apr,Withdrawn,Out,,out,4/25/2023,Mayberry Farm
106,,GR/RO,C,4/23/2021,Leofric,Bobby's Brickhouse,Bob and John,BobbysBrickhouse,Mayberry Farm,NY,B,10.1,7,16-Apr,Team Penney Racing LLC,"65,000",PS,,,Mayberry Farm
107,,GR/RO,F,4/3/2021,Lemon Drop Kid,Bones,Kantharos,Bones,"Global Thoroughbreds LLC, Agent V",FL,10,out,,16-Apr,Withdrawn,Out,,out,4/15/2023,Global Thoroughbreds LLC
108,,DB/BR,F,4/2/2021,More Than Ready,Boreale,Makfi (GB),Boreale,RiceHorse Stable (Brandon & Ali Rice),KY,6,10.3,111,16-Apr,"Gary Contessa, Agent for Gary Arabian","45,000",PS,,,RiceHorse
109,,B,C,3/3/2021,Demarchelier (GB),Born Special,Pulpit,BornSpecial,"Hidden Brook, Agent II",KY,9,10.4,123,16-Apr,"45,000",Not Sold,,,,Hidden Brook Farm
110,,B,C,3/16/2021,Lookin At Lucky,Boston Mine,Mineshaft,BostonMine,"Woodside Ranch, Agent II",KY,6,22.1,98,16-Apr,"Greg Compton, Agent for Danny W. Brown","60,000",,,,Woodside Ranch
111,,B,F,3/28/2021,Into Mischief,Bound,Jump Start,Bound,"Paul Sharp, Agent XIV",KY,C,out,100,16-Apr,Withdrawn,Out,,out,4/25/2023,Sharp Paul M.
112,,CH,C,2/15/2021,Gun Runner,Boxwood,English Channel,Boxwood,"Randy Miles, Agent XVI",KY,18,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Miles Randy
113,,B,C,2/8/2021,Catholic Boy,Breech Inlet,Holy Bull,BreechInlet,"Randy Miles, Agent II",ON,18,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Miles Randy
114,,B,C,3/27/2021,Ami's Flatter,Bridlewise,Street Sense,Bridlewise,"Off the Hook LLC, Agent XVI",FL,13,10.1,88,16-Apr,"Don Mensh, E. Plesa, Agent","70,000",,,,Off the Hook LLC
115,Loveya Loveya More,DB/BR,F,3/21/2021,Cloud Computing,Brilliant Dial,Dialed In,BrilliantDial,"RiceHorse Stable (Brandon & Ali Rice), Agent X",KY,6,10.2,90,16-Apr,"65,000",Not Sold,,,,RiceHorse
116,Hasini,DB/BR,F,4/24/2021,Mitole,Brilliant Future,Mingun,BrilliantFuture,"S B M Training and Sales, Agent I",KY,3,out,17,16-Apr,Withdrawn,Out,,out,4/25/2023,S B M Training and Sales
117,,CH,F,3/24/2021,Vino Rosso,Broken Blues,Broken Vow,BrokenBlues,"Best A Luck Farm LLC, Agent III",PA,3,10.0,30,16-Apr,Nicholas Cammarano,"90,000",,,,Best A Luck Farm LLC
118,,CH,C,2/9/2021,Preservationist,Bronze Beauty,Latent Heat,BronzeBeauty,"Whitman Sales LLC, Agent III",OK,16,22.0,102,16-Apr,S.R.O.A. (KOID),"30,000",,,,Whitman Sales
119,,B,C,2/7/2021,Into Mischief,Brushwork,Discreet Cat,Brushwork,"Eddie Woods, Agent XVIII",KY,11,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Woods Eddie
120,,B,F,4/13/2021,Frosted,Buneya,Indian Charlie,Buneya,"Davis Breaking and Training, Inc., Agent I",KY,17,10.1,31,16-Apr,Ryan Ritt,"88,000",PS,,,"Davis Breaking and Training, Inc."
121,B B Prince,DB/BR,C,4/30/2021,Cairo Prince,Buttercup Bay,Bluegrass Cat,ButtercupBay,"Bobby Dodd, Agent V",KY,10,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Dodd Bobby
122,,B,C,3/20/2021,Take Charge Indy,Butterscotch Rose,Street Sense,ButterscotchRose,"White Pine Thoroughbreds, Agent",KY,D,out,,16-Apr,Withdrawn,Out,,out,4/10/2023,White Pine Thoroughbreds
